Chad,6646663021.00,7422102520.00,8638711757.00,10351933632.00,9253484290.00,10657705072.00,12156380062.00,12368070169.00,12949853281.00,13922224561.00
Channel Islands,8827272727.00,9676172953.00,11514605842.00,..,..,..,..,..,..,..
Chile,124000000000.00,155000000000.00,173000000000.00,180000000000.00,172000000000.00,218000000000.00,251000000000.00,265000000000.00,277000000000.00,258000000000.00
China,2270000000000.00,2730000000000.00,3520000000000.00,4560000000000.00,5060000000000.00,6040000000000.00,7490000000000.00,8460000000000.00,9490000000000.00,10400000000000.00
Colombia,147000000000.00,163000000000.00,207000000000.00,244000000000.00,234000000000.00,287000000000.00,335000000000.00,370000000000.00,380000000000.00,378000000000.00
Comoros,380372892.60,406111873.50,462453582.90,517477678.60,514788082.30,516962886.80,566024620.50,550476566.10,598925539.70,623751049.70
DR Congo,11964484668.00,14296507097.00,16364029327.00,19206060270.00,18262773821.00,20523285374.00,23849009738.00,27463220380.00,30014905126.00,33121070959.00
Republic of the Congo,6087002682.00,7731261311.00,8394688284.00,11859014004.00,9593536531.00,12007880591.00,14425607224.00,13677930124.00,14085852121.00,14177440495.00
Costa Rica,19964925503.00,22526463619.00,26322000105.00,29837895769.00,29382694861.00,36298327620.00,41237293551.00,45300669858.00,49236710394.00,49552580683.00
C™te d'Ivoire,17084928928.00,17800887797.00,20343635320.00,24224903100.00,24277493862.00,24884505035.00,25381616734.00,27040562587.00,31292560974.00,34253607832.00
Croatia,45416076681.00,50453577899.00,60093155533.00,70481451814.00,62703095751.00,59680624422.00,62249565359.00,56485301967.00,57770884729.00,57113389357.00
Cuba,42644200000.00,52742100000.00,58603500000.00,60806300000.00,62078600000.00,64328200000.00,68990140000.00,73139050000.00,77149700000.00,..
Curaçao,..,..,..,..,..,..,..,..,..,..
Cyprus,18270009451.00,19866878479.00,23716042497.00,27493064742.00,25593262401.00,25247424011.00,27089174646.00,24940600822.00,24057251749.00,23226158986.00
Czech Republic,136000000000.00,155000000000.00,189000000000.00,235000000000.00,206000000000.00,207000000000.00,227000000000.00,206000000000.00,208000000000.00,205000000000.00
Denmark,265000000000.00,283000000000.00,320000000000.00,353000000000.00,320000000000.00,320000000000.00,341000000000.00,322000000000.00,336000000000.00,342000000000.00
Djibouti,708633194.70,768873684.00,847918929.10,999105339.30,1049110685.00,1128611700.00,1239144502.00,1353632942.00,1455416074.00,1589026158.00
Dominica,370370370.40,390370370.40,421481481.50,458148148.10,489259259.30,493703703.70,501481481.50,485185185.20,506666666.70,524074074.10
Dominican Republic,34004081037.00,35952890849.00,44073886687.00,48152993003.00,48193458083.00,53864484468.00,58361928552.00,60595109805.00,61366326096.00,64137819041.00
Ecuador,41507085000.00,46802044000.00,51007777000.00,61762635000.00,62519686000.00,69555367000.00,79276664000.00,87924544000.00,94776170000.00,101000000000.00
Egypt,89685724897.00,107000000000.00,130000000000.00,163000000000.00,189000000000.00,219000000000.00,236000000000.00,263000000000.00,272000000000.00,287000000000.00
El Salvador,17093800000.00,18550700000.00,20104900000.00,21431000000.00,20661000000.00,21418300000.00,23139000000.00,23813600000.00,24350900000.00,25163700000.00
Equatorial Guinea,8217369093.00,9144693758.00,10776721748.00,16021701872.00,10219467607.00,12709498549.00,17229758160.00,18011041667.00,17135584685.00,15529729677.00
Eritrea,1098424709.00,1211161880.00,1317974493.00,1380188800.00,1856695551.00,2117039511.00,2607739837.00,..,..,..
Estonia,14006093769.00,16963630661.00,22237065426.00,24194038377.00,19652486802.00,19494662252.00,23168793439.00,23135266649.00,25246787742.00,26485161116.00
Ethiopia,12401139454.00,15280861835.00,19707616773.00,27066912635.00,32437389116.00,29933790334.00,31952763089.00,43310721414.00,47648211133.00,55612228234.00
Faeroe Islands,1730891409.00,1970142378.00,2278229533.00,2413237402.00,2257097732.00,2301178416.00,2468748768.00,2356505419.00,2613458941.00,..
Fiji,3006725015.00,3102741451.00,3405050612.00,3523185920.00,2870624636.00,3140508836.00,3774537140.00,3977652383.00,4196100793.00,4531817941.00
Finland,204000000000.00,217000000000.00,255000000000.00,284000000000.00,251000000000.00,248000000000.00,274000000000.00,257000000000.00,269000000000.00,272000000000.00
France,2200000000000.00,2330000000000.00,2660000000000.00,2920000000000.00,2690000000000.00,2650000000000.00,2860000000000.00,2680000000000.00,2810000000000.00,2830000000000.00
French Polynesia,..,..,..,..,..,..,..,..,..,..
Gabon,9458884812.00,10154041930.00,12438956756.00,15508574820.00,12152235251.00,14358584300.00,18186478120.00,17171447372.00,17590716233.00,18179717776.00
Gambia,624174724.40,655068695.80,798870893.90,965769127.10,900639747.50,952429031.30,904256642.30,912569686.80,903779326.50,..
Georgia,6410941013.00,7745406201.00,10172869680.00,12795044473.00,10766836277.00,11638536834.00,14434619982.00,15846474596.00,16140047012.00,16529963187.00
Germany,2860000000000.00,3000000000000.00,3440000000000.00,3750000000000.00,3420000000000.00,3420000000000.00,3760000000000.00,3540000000000.00,3750000000000.00,3870000000000.00
Ghana,10731634117.00,20409257611.00,24758819718.00,28526891011.00,25977847814.00,32174772956.00,39566292433.00,41939728979.00,47805069495.00,38616536132.00
Greece,248000000000.00,273000000000.00,318000000000.00,354000000000.00,330000000000.00,299000000000.00,288000000000.00,246000000000.00,240000000000.00,236000000000.00
Greenland,1702543477.00,1738432116.00,2121759848.00,1739579594.00,1267711816.00,..,..,..,..,..
Grenada,695370296.30,698518518.50,758518518.50,825925925.90,771278098.10,771015875.90,778648670.40,799882130.00,842571332.20,911803790.40
Guam,..,..,..,..,..,..,..,..,..,..
Guatemala,27211376361.00,30231249704.00,34113107920.00,39136436508.00,37733609954.00,41338008265.00,47654787037.00,50388460223.00,53851148432.00,58827085047.00
Guinea,2937071767.00,2931625105.00,4134173275.00,4515824647.00,4609923756.00,4735956493.00,5067360009.00,5667229759.00,6231725485.00,6624068016.00
Guinea-Bissau,586791836.10,591829897.50,695606313.90,864107768.30,825796952.70,847491366.90,1103652041.00,958857944.20,946629755.80,1022371992.00
Guyana,824880550.30,1458446872.00,1740334782.00,1922603032.00,2025565090.00,2259288396.00,2576597596.00,2851149183.00,2982036494.00,3096747287.00
Haiti,4310358096.00,4757289752.00,5885325590.00,6548530572.00,6584649419.00,6622541529.00,7516834160.00,7890216508.00,8452718010.00,8713041023.00
Honduras,9672035709.00,10841742348.00,12275501784.00,13789715133.00,14587496229.00,15839344592.00,17710315006.00,18528601901.00,18496438642.00,19385314718.00
Hong Kong ,182000000000.00,194000000000.00,212000000000.00,219000000000.00,214000000000.00,229000000000.00,249000000000.00,263000000000.00,276000000000.00,291000000000.00
Hungary,113000000000.00,115000000000.00,139000000000.00,157000000000.00,130000000000.00,130000000000.00,140000000000.00,127000000000.00,134000000000.00,138000000000.00
Iceland,16749309720.00,17041293816.00,21293841230.00,17530651670.00,12855269884.00,13236887873.00,14665358677.00,14194519025.00,15376604282.00,17036097482.00
India,834000000000.00,949000000000.00,1240000000000.00,1220000000000.00,1370000000000.00,1710000000000.00,1840000000000.00,1830000000000.00,1860000000000.00,2050000000000.00
Indonesia,286000000000.00,365000000000.00,432000000000.00,510000000000.00,540000000000.00,755000000000.00,893000000000.00,918000000000.00,910000000000.00,889000000000.00
Iran,220000000000.00,259000000000.00,337000000000.00,397000000000.00,399000000000.00,468000000000.00,592000000000.00,587000000000.00,512000000000.00,425000000000.00
Iraq,49954890353.00,65140293688.00,88840050497.00,132000000000.00,112000000000.00,139000000000.00,186000000000.00,218000000000.00,232000000000.00,224000000000.00
Ireland,211000000000.00,232000000000.00,270000000000.00,275000000000.00,235000000000.00,220000000000.00,242000000000.00,225000000000.00,238000000000.00,251000000000.00
Isle of Man,2971167185.00,3344402193.00,4062367148.00,..,..,..,..,..,..,..
Israel,143000000000.00,155000000000.00,180000000000.00,217000000000.00,208000000000.00,234000000000.00,262000000000.00,260000000000.00,292000000000.00,306000000000.00
Italy,1850000000000.00,1940000000000.00,2200000000000.00,2390000000000.00,2190000000000.00,2130000000000.00,2280000000000.00,2070000000000.00,2130000000000.00,2140000000000.00
Jamaica,11204416000.00,11905525197.00,12824094990.00,13678551838.00,12037473161.00,13190512703.00,14396816915.00,14746420946.00,14187446661.00,13891359468.00
Japan,4570000000000.00,4360000000000.00,4360000000000.00,4850000000000.00,5040000000000.00,5500000000000.00,5910000000000.00,5950000000000.00,4920000000000.00,4600000000000.00
