"Participant","Action","Date of Notification/Deposit","Date of Effect"
"Iraq","Accession","15/08/2007","01/02/2008"
"Ireland","Signature","03/12/1997"," "
"Ireland","Ratification","03/12/1997","01/03/1999"
"Italy","Signature","03/12/1997"," "
"Italy","Ratification","23/04/1999","01/10/1999"
"Jamaica","Signature","03/12/1997"," "
"Jamaica","Ratification","17/07/1998","01/03/1999"
"Japan","Signature","03/12/1997"," "
"Japan","Acceptance","30/09/1998","01/03/1999"
"Jordan","Signature","11/08/1998"," "
"Jordan","Ratification","13/11/1998","01/05/1999"
"Kenya","Signature","05/12/1997"," "
"Kenya","Ratification","23/01/2001","01/07/2001"
"Kiribati","Accession","07/09/2000","01/03/2001"
"Kuwait","Accession","30/07/2007","01/01/2008"
"Latvia","Accession","01/07/2005","01/01/2006"
"Lesotho","Signature","04/12/1997"," "
"Lesotho","Ratification","02/12/1998","01/06/1999"
"Liberia","Accession","23/12/1999","01/06/2000"
"Liechtenstein","Signature","03/12/1997"," "
"Liechtenstein","Ratification","05/10/1999","01/04/2000"
"Lithuania","Signature","26/02/1999"," "
"Lithuania","Ratification","12/05/2003","01/11/2003"
"Luxembourg","Signature","04/12/1997"," "
"Luxembourg","Ratification","14/06/1999","01/12/1999"
"Madagascar","Signature","04/12/1997"," "
"Madagascar","Ratification","16/09/1999","01/03/2000"
"Malawi","Signature","04/12/1997"," "
"Malawi","Ratification","13/08/1998","01/03/1999"
"Malaysia","Signature","03/12/1997"," "
"Malaysia","Ratification","22/04/1999","01/10/1999"
"Maldives","Signature","01/10/1998"," "
"Maldives","Ratification","07/09/2000","01/03/2001"
"Mali","Signature","03/12/1997"," "
"Mali","Ratification","02/06/1998","01/03/1999"
"Malta","Signature","04/12/1997"," "
"Malta","Ratification","07/05/2001","01/11/2001"
"Marshall Islands","Signature","04/12/1997"," "
"Mauritania","Signature","03/12/1997"," "
"Mauritania","Ratification","21/07/2000","01/01/2001"
"Mauritius","Signature","03/12/1997"," "
"Mauritius","Ratification","03/12/1997","01/03/1999"
"Mexico","Signature","03/12/1997"," "
"Mexico","Ratification","09/06/1998","01/03/1999"
"Monaco","Signature","04/12/1997"," "
"Monaco","Ratification","17/11/1998","01/05/1999"
"Montenegro","Succession","23/10/2006","03/06/2006"
"Mozambique","Signature","03/12/1997"," "
"Mozambique","Ratification","25/08/1998","01/03/1999"
"Namibia","Signature","03/12/1997"," "
"Namibia","Ratification","21/09/1998","01/03/1999"
"Nauru","Accession","07/08/2000","01/02/2001"
"Netherlands","Signature","03/12/1997"," "
"Netherlands","Territorial application","21/02/2014"," "
"Netherlands","Acceptance","12/04/1999","01/10/1999"
"New Zealand","Signature","03/12/1997"," "
"New Zealand","Ratification","27/01/1999","01/07/1999"
"Nicaragua","Signature","04/12/1997"," "
"Nicaragua","Ratification","30/11/1998","01/05/1999"
"Niger","Signature","04/12/1997"," "
"Niger","Ratification","23/03/1999","01/09/1999"
"Nigeria","Accession","27/09/2001","01/03/2002"
"Niue","Signature","03/12/1997"," "
"Niue","Ratification","15/04/1998","01/03/1999"
"Norway","Signature","03/12/1997"," "
"Norway","Ratification","09/07/1998","01/03/1999"
"Oman","Accession","20/08/2014","01/02/2015"
"Palau","Accession","19/11/2007","01/05/2008"
"Panama","Signature","04/12/1997"," "
"Panama","Ratification","07/10/1998","01/04/1999"
"Papua New Guinea","Accession","28/06/2004","01/12/2004"
"Paraguay","Signature","03/12/1997"," "
"Paraguay","Ratification","13/11/1998","01/05/1999"
"Peru","Signature","03/12/1997"," "
"Peru","Ratification","17/06/1998","01/03/1999"
"Philippines","Signature","03/12/1997"," "
"Philippines","Ratification","15/02/2000","01/08/2000"
"Poland","Signature","04/12/1997"," "
"Poland","Ratification","27/12/2012","01/06/2013"
"Portugal","Signature","03/12/1997"," "
"Portugal","Ratification","19/02/1999","01/08/1999"
"Qatar","Signature","04/12/1997"," "
"Qatar","Ratification","13/10/1998","01/04/1999"
"Republic of Moldova","Signature","03/12/1997"," "
"Republic of Moldova","Ratification","08/09/2000","01/03/2001"
"Romania","Signature","03/12/1997"," "
"Romania","Ratification","30/11/2000","01/05/2001"
"Rwanda","Signature","03/12/1997"," "
"Rwanda","Ratification","08/06/2000","01/12/2000"
"Samoa","Signature","03/12/1997"," "
"Samoa","Ratification","23/07/1998","01/03/1999"
"San Marino","Signature","03/12/1997"," "
"San Marino","Ratification","18/03/1998","01/03/1999"
"Sao Tome and Principe","Signature","30/04/1998"," "
"Sao Tome and Principe","Ratification","31/03/2003","01/09/2003"
"Senegal","Signature","03/12/1997"," "
"Senegal","Ratification","24/09/1998","01/03/1999"
"Serbia","Declaration"," "," "
"Serbia and Montenegro","Accession","18/09/2003","01/03/2004"
"Seychelles","Signature","04/12/1997"," "
"Seychelles","Ratification","02/06/2000","01/12/2000"
"Sierra Leone","Signature","29/07/1998"," "
"Sierra Leone","Ratification","25/04/2001","01/10/2001"
"Slovakia","Signature","03/12/1997"," "
"Slovakia","Approval","25/02/1999","01/08/1999"
"Slovenia","Signature","03/12/1997"," "
"Slovenia","Ratification","27/10/1998","01/04/1999"
"Solomon Islands","Signature","04/12/1997"," "
"Solomon Islands","Ratification","26/01/1999","01/07/1999"
"Somalia","Accession","16/04/2012","01/10/2012"
"South Africa","Signature","03/12/1997"," "
"South Africa","Ratification","26/06/1998","01/03/1999"
"South Sudan","Succession","11/11/2011","09/07/2011"
"Spain","Signature","03/12/1997"," "
"Spain","Ratification","19/01/1999","01/07/1999"
"St. Kitts and Nevis","Signature","03/12/1997"," "
"St. Kitts and Nevis","Ratification","02/12/1998","01/06/1999"
"St. Lucia","Signature","03/12/1997"," "
"St. Lucia","Ratification","13/04/1999","01/10/1999"
"St. Vincent and the Grenadines","Signature","03/12/1997"," "
"St. Vincent and the Grenadines","Ratification","01/08/2001","01/02/2002"
"Sudan","Signature","04/12/1997"," "
"Sudan","Ratification","13/10/2003","01/04/2004"
"Suriname","Signature","04/12/1997"," "
"Suriname","Ratification","23/05/2002","01/11/2002"
"Swaziland","Signature","04/12/1997"," "
"Swaziland","Ratification","22/12/1998","01/06/1999"
"Sweden","Signature","04/12/1997"," "
"Sweden","Ratification","30/11/1998","01/05/1999"
"Switzerland","Signature","03/12/1997"," "
"Switzerland","Ratification","24/03/1998","01/03/1999"
"Tajikistan","Accession","12/10/1999","01/04/2000"
"Thailand","Signature","03/12/1997"," "
"Thailand","Ratification","27/11/1998","01/05/1999"
"The former Yugoslav Republic of Macedonia","Accession","09/09/1998","01/03/1999"
"Timor-Leste","Accession","07/05/2003","01/11/2003"
"Togo","Signature","04/12/1997"," "
"Togo","Ratification","09/03/2000","01/09/2000"
"Trinidad and Tobago","Signature","04/12/1997"," "
"Trinidad and Tobago","Ratification","27/04/1998","01/03/1999"
"Tunisia","Signature","04/12/1997"," "
"Tunisia","Ratification","09/07/1999","01/01/2000"
"Turkey","Accession","25/09/2003","01/03/2004"
"Turkmenistan","Signature","03/12/1997"," "
"Turkmenistan","Ratification","19/01/1998","01/03/1999"
"Tuvalu","Accession","13/09/2011","01/03/2012"
"Uganda","Signature","03/12/1997"," "
"Uganda","Ratification","25/02/1999","01/08/1999"
"Ukraine","Signature","24/02/1999"," "
"Ukraine","Ratification","27/12/2005","01/06/2006"
"United Kingdom of Great Britain and Northern Ireland","Territorial application","03/04/2002"," "
"United Kingdom of Great Britain and Northern Ireland","Territorial application","04/12/2001"," "
"United Kingdom of Great Britain and Northern Ireland","Signature","03/12/1997"," "
"United Kingdom of Great Britain and Northern Ireland","Ratification","31/07/1998","01/03/1999"
"United Republic of Tanzania","Signature","03/12/1997"," "
"United Republic of Tanzania","Ratification","13/11/2000","01/05/2001"
"Uruguay","Signature","03/12/1997"," "
"Uruguay","Ratification","07/06/2001","01/12/2001"
"Vanuatu","Signature","04/12/1997"," "
"Vanuatu","Ratification","16/09/2005","01/03/2006"
"Venezuela","Signature","03/12/1997"," "
"Venezuela","Ratification","14/04/1999","01/10/1999"
"Yemen Arab Republic","Signature","04/12/1997"," "
"Yemen Arab Republic","Ratification","01/09/1998","01/03/1999"
"Zambia","Signature","12/12/1997"," "
"Zambia","Ratification","23/02/2001","01/08/2001"
"Zimbabwe","Signature","03/12/1997"," "
"Zimbabwe","Ratification","18/06/1998","01/03/1999"
