Participant,Action,Date of Notification/Deposit,Date of Effect
Afghanistan,Accession,10/02/2003,01/05/2003
Albania,Notification,30/08/2004, 
Albania,Signature,18/07/1998, 
Albania,Ratification,31/01/2003,01/05/2003
Algeria,Signature,28/12/2000, 
Andorra,Signature,18/07/1998, 
Andorra,Ratification,30/04/2001,01/07/2002
Angola,Signature,07/10/1998, 
Antigua and Barbuda,Signature,23/10/1998, 
Antigua and Barbuda,Ratification,18/06/2001,01/07/2002
Argentina,Notification,26/01/2005, 
Argentina,Signature,08/01/1999, 
Argentina,Communication,19/05/2010, 
Argentina,Ratification,08/02/2001,01/07/2002
Armenia,Signature,01/10/1999, 
Australia,Signature,09/12/1998, 
Australia,Notification,10/03/2004, 
Australia,Ratification,01/07/2002,01/09/2002
Austria,Signature,07/10/1998, 
Austria,Ratification,28/12/2000,01/07/2002
Bahamas,Signature,29/12/2000, 
Bahrain,Signature,11/12/2000, 
Bangladesh,Signature,16/09/1999, 
Bangladesh,Ratification,23/03/2010,01/06/2010
Barbados,Signature,08/09/2000, 
Barbados,Ratification,10/12/2002,01/03/2003
Belgium,Signature,10/09/1998, 
Belgium,Ratification,28/06/2000,01/07/2002
Belize,Signature,05/04/2000, 
Belize,Ratification,05/04/2000,01/07/2002
Benin,Signature,24/09/1999, 
Benin,Ratification,22/01/2002,01/07/2002
Bolivia,Signature,17/07/1998, 
Bolivia,Ratification,27/06/2002,01/09/2002
Bosnia and Herzegovina,Signature,17/07/2000, 
Bosnia and Herzegovina,Ratification,11/04/2002,01/07/2002
Botswana,Signature,08/09/2000, 
Botswana,Ratification,08/09/2000,01/07/2002
Brazil,Signature,07/02/2000, 
Brazil,Ratification,20/06/2002,01/09/2002
Bulgaria,Signature,11/02/1999, 
Bulgaria,Ratification,11/04/2002,01/07/2002
Burkina Faso,Signature,30/11/1998, 
Burkina Faso,Ratification,16/04/2004,01/07/2004
Burundi,Signature,13/01/1999, 
Burundi,Ratification,21/09/2004,01/12/2004
Cambodia,Signature,23/10/2000, 
Cambodia,Ratification,11/04/2002,01/07/2002
Cameroon,Signature,17/07/1998, 
Canada,Signature,18/12/1998, 
Canada,Ratification,07/07/2000,01/07/2002
Cape Verde,Signature,28/12/2000, 
Cape Verde,Declaration,24/01/2012, 
Cape Verde,Ratification,10/10/2011,01/01/2012
Central African Republic,Signature,07/12/1999, 
Central African Republic,Ratification,03/10/2001,01/07/2002
Chad,Signature,20/10/1999, 
Chad,Notification,14/12/2010, 
Chad,Ratification,01/11/2006,01/01/2007
Chile,Signature,11/09/1998, 
Chile,Ratification,29/06/2009,01/09/2009
Colombia,Signature,10/12/1998, 
Colombia,Notification,18/03/2004, 
Colombia,Ratification,05/08/2002,01/11/2002
Comoros,Signature,22/09/2000, 
Comoros,Ratification,18/08/2006,01/11/2006
Congo,Signature,17/07/1998, 
Congo,Ratification,03/05/2004,01/08/2004
Cook Islands,Accession,18/07/2008,01/10/2008
Costa Rica,Signature,07/10/1998, 
Costa Rica,Ratification,07/06/2001,01/07/2002
Côte d'Ivoire,Signature,30/11/1998, 
Côte d'Ivoire,Ratification,15/02/2013,01/05/2013
Croatia,Signature,12/10/1998, 
Croatia,Notification,19/07/2004, 
Croatia,Ratification,21/05/2001,01/07/2002
Cyprus,Signature,15/10/1998, 
Cyprus,Ratification,07/03/2002,01/07/2002
Czech Republic,Signature,13/04/1999, 
Czech Republic,Ratification,21/07/2009,01/10/2009
Democratic Republic of the Congo,Signature,08/09/2000, 
Democratic Republic of the Congo,Ratification,11/04/2002,01/07/2002
Denmark,Territorial exclusion,21/06/2001, 
Denmark,Territorial application,20/11/2006, 
Denmark,Territorial application,17/11/2004, 
Denmark,Communication,21/08/2003, 
Denmark,Signature,25/09/1998, 
Denmark,Ratification,21/06/2001,01/07/2002
Djibouti,Signature,07/10/1998, 
Djibouti,Ratification,05/11/2002,01/02/2003
Dominica,Accession,12/02/2001,01/07/2002
Dominican Republic,Signature,08/09/2000, 
Dominican Republic,Ratification,12/05/2005,01/08/2005
Ecuador,Signature,07/10/1998, 
Ecuador,Ratification,05/02/2002,01/07/2002
Egypt,Signature,26/12/2000, 
El Salvador,Accession,03/03/2016,01/06/2016
Eritrea,Signature,07/10/1998, 
Estonia,Signature,27/12/1999, 
Estonia,Ratification,30/01/2002,01/07/2002
Fiji,Signature,29/11/1999, 
Fiji,Ratification,29/11/1999,01/07/2002
Finland,Signature,07/10/1998, 
Finland,Objection,08/07/2003, 
Finland,Ratification,29/12/2000,01/07/2002
France,Signature,18/07/1998, 
France,Notification,10/05/2004, 
France,Ratification,09/06/2000,01/07/2002
France,Withdrawal of declaration,13/08/2008,15/06/2008
Gabon,Signature,22/12/1998, 
Gabon,Ratification,20/09/2000,01/07/2002
Gambia,Signature,04/12/1998, 
Gambia,Ratification,28/06/2002,01/09/2002
Georgia,Signature,18/07/1998, 
Georgia,Notification,30/04/2009, 
Georgia,Ratification,05/09/2003,01/12/2003
Germany,Objection,07/07/2003, 
Germany,Signature,10/12/1998, 
Germany,Ratification,11/12/2000,01/07/2002
Ghana,Signature,18/07/1998, 
Ghana,Ratification,20/12/1999,01/07/2002
Greece,Signature,18/07/1998, 
Greece,Notification,07/04/2004, 
Greece,Ratification,15/05/2002,01/08/2002
Grenada,Accession,19/05/2011,01/08/2011
Guatemala,Accession,02/04/2012,01/07/2012
Guatemala,Declaration,02/04/2012,02/04/2012
Guinea,Signature,07/09/2000, 
Guinea,Ratification,14/07/2003,01/10/2003
Guinea-Bissau,Signature,12/09/2000, 
Guyana,Signature,28/12/2000, 
Guyana,Ratification,24/09/2004,01/12/2004
Haiti,Signature,26/02/1999, 
Honduras,Signature,07/10/1998, 
Honduras,Notification,13/07/2004, 
Honduras,Ratification,01/07/2002,01/09/2002
Hungary,Signature,15/01/1999, 
Hungary,Ratification,30/11/2001,01/07/2002
Iceland,Signature,26/08/1998, 
Iceland,Notification,09/06/2004, 
Iceland,Ratification,25/05/2000,01/07/2002
Iran (Islamic Republic of),Signature,31/12/2000, 
Ireland,Communication,28/07/2003, 
Ireland,Signature,07/10/1998, 
Ireland,Ratification,11/04/2002,01/07/2002
Israel,Communication,28/08/2002, 
Israel,Signature,31/12/2000, 
