Participant,Action,Date of Notification/Deposit,Date of Effect
Liechtenstein,Signature,29/06/1998, 
Liechtenstein,Ratification,03/12/2004,03/03/2005
Lithuania,Signature,21/09/1998, 
Lithuania,Ratification,03/01/2003,16/02/2005
Luxembourg,Signature,29/04/1998, 
Luxembourg,Ratification,31/05/2002,16/02/2005
Madagascar,Accession,24/09/2003,16/02/2005
Malawi,Accession,26/10/2001,16/02/2005
Malaysia,Signature,12/03/1999, 
Malaysia,Ratification,04/09/2002,16/02/2005
Maldives,Signature,16/03/1998, 
Maldives,Ratification,30/12/1998,16/02/2005
Mali,Signature,27/01/1999, 
Mali,Ratification,28/03/2002,16/02/2005
Malta,Signature,17/04/1998, 
Malta,Ratification,11/11/2001,16/02/2005
Marshall Islands,Signature,17/03/1998, 
Marshall Islands,Ratification,11/08/2003,16/02/2005
Mauritania,Accession,22/07/2005,20/10/2005
Mauritius,Accession,09/05/2001,16/02/2005
Mexico,Signature,09/06/1998, 
Mexico,Ratification,07/09/2000,16/02/2005
Micronesia (Federated States of),Signature,17/03/1998, 
Micronesia (Federated States of),Ratification,21/06/1999,16/02/2005
Monaco,Signature,29/04/1998, 
Monaco,Ratification,27/02/2006,28/05/2006
Mongolia,Accession,15/12/1999,16/02/2005
Montenegro,Accession,04/06/2007,02/09/2007
Morocco,Accession,25/01/2002,16/02/2005
Mozambique,Accession,18/01/2005,18/04/2005
Myanmar,Accession,13/08/2003,16/02/2005
Namibia,Accession,04/09/2003,16/02/2005
Nauru,Accession,16/08/2001,16/02/2005
Nepal,Accession,16/09/2005,15/12/2005
Netherlands,Signature,29/04/1998, 
Netherlands,Acceptance,31/05/2002,16/02/2005
New Zealand,Signature,22/05/1998, 
New Zealand,Ratification,19/12/2002,16/02/2005
Nicaragua,Signature,07/07/1998, 
Nicaragua,Ratification,18/11/1999,16/02/2005
Niger,Signature,23/10/1998, 
Niger,Ratification,30/09/2004,16/02/2005
Nigeria,Accession,10/12/2004,10/03/2005
Niue,Signature,08/12/1998, 
Niue,Ratification,06/05/1999,16/02/2005
None,Proposal of corrections,23/01/2004, 
None,Entry into force,18/11/2004,16/02/2005
Norway,Signature,29/04/1998, 
Norway,Ratification,30/05/2002,16/02/2005
Oman,Accession,19/01/2005,19/04/2005
Pakistan,Accession,11/01/2005,11/04/2005
Palau,Accession,10/12/1999,16/02/2005
Panama,Signature,08/06/1998, 
Panama,Ratification,05/03/1999,16/02/2005
Papua New Guinea,Signature,02/03/1999, 
Papua New Guinea,Ratification,28/03/2002,16/02/2005
Paraguay,Signature,25/08/1998, 
Paraguay,Ratification,27/08/1999,16/02/2005
Peru,Signature,13/11/1998, 
Peru,Ratification,12/09/2002,16/02/2005
Philippines,Signature,15/04/1998, 
Philippines,Ratification,20/11/2003,16/02/2005
Poland,Signature,15/07/1998, 
Poland,Ratification,13/12/2002,16/02/2005
Portugal,Signature,29/04/1998, 
Portugal,Approval,31/05/2002,16/02/2005
Qatar,Accession,11/01/2005,11/04/2005
Republic of Korea,Signature,25/09/1998, 
Republic of Korea,Ratification,08/11/2002,16/02/2005
Republic of Moldova,Accession,22/04/2003,16/02/2005
Romania,Signature,05/01/1999, 
Romania,Ratification,19/03/2001,16/02/2005
Russian Federation,Signature,11/03/1999, 
Russian Federation,Ratification,18/11/2004,16/02/2005
Rwanda,Accession,22/07/2004,16/02/2005
Samoa,Signature,16/03/1998, 
Samoa,Ratification,27/11/2000,16/02/2005
San Marino,Accession,28/04/2010,27/07/2010
