Participant,Action,Date of Notification/Deposit,Date of Effect
Egypt,Withdrawal of reservation,04/01/2008, 
Egypt,Signature,16/07/1980, 
Egypt,Ratification,18/09/1981,18/10/1981
El Salvador,Signature,14/11/1980, 
El Salvador,Ratification,19/08/1981,18/09/1981
Equatorial Guinea,Accession,23/10/1984,22/11/1984
Eritrea,Accession,05/09/1995,05/10/1995
Estonia,Objection,04/12/2006, 
Estonia,Objection,04/12/2006, 
Estonia,Objection,01/04/2004, 
Estonia,Objection,29/04/2010, 
Estonia,Accession,21/10/1991,20/11/1991
Ethiopia,Signature,08/07/1980, 
Ethiopia,Ratification,10/09/1981,10/10/1981
Federal Republic of Germany,Objection,10/07/1985, 
Federal Republic of Germany,Signature,17/07/1980, 
Federal Republic of Germany,Objection,10/07/1985, 
Federal Republic of Germany,Objection,10/07/1985, 
Federal Republic of Germany,Objection,10/07/1985, 
Federal Republic of Germany,Objection,10/07/1985, 
Federal Republic of Germany,Objection,10/07/1985, 
Federal Republic of Germany,Objection,20/06/1990, 
Federal Republic of Germany,Objection,07/04/1988, 
Federal Republic of Germany,Objection,03/03/1987, 
Federal Republic of Germany,Objection,03/03/1987, 
Federal Republic of Germany,Objection,15/10/1986, 
Federal Republic of Germany,Ratification,10/07/1985,09/08/1985
Fiji,Withdrawal of reservation,24/01/2000,24/01/2000
Fiji,Accession,28/08/1995,27/09/1995
Finland,Objection,17/01/1996, 
Finland,Objection,05/05/1994, 
Finland,Communication,17/08/1999, 
Finland,Objection,24/10/2000, 
Finland,Objection,06/06/1997, 
Finland,Objection,21/11/1996, 
Finland,Objection,16/10/1996, 
Finland,Objection,01/11/1996, 
Finland,Objection,16/10/1996, 
Finland,Objection,10/03/2003, 
Finland,Objection,17/06/2003, 
Finland,Objection,31/05/2002, 
Finland,Objection,08/10/2001, 
Finland,Objection,05/03/2002, 
Finland,Objection,15/11/2005, 
Finland,Objection,07/09/2005, 
Finland,Objection,27/02/2007, 
Finland,Objection,27/02/2007, 
Finland,Objection,08/06/1990, 
Finland,Signature,17/07/1980, 
Finland,Objection,29/04/2010, 
Finland,Ratification,04/09/1986,04/10/1986
France,Declaration,20/03/1987, 
France,Signature,17/07/1980, 
France,Objection,13/06/2007, 
France,Objection,18/11/2005, 
France,Objection,13/02/2007, 
France,Objection,04/03/2002, 
France,Objection,25/04/2003, 
France,Objection,26/06/2001, 
France,Communication,17/06/2002, 
France,Objection,21/07/2003, 
France,Objection,20/07/1998, 
France,Communication,14/11/2000, 
France,Partial withdrawal of reservations,14/10/2013, 
France,Ratification,14/12/1983,13/01/1984
France,Withdrawal of reservation,21/07/1986,21/07/1986
France,Withdrawal of reservation,22/12/2003,22/12/2003
France,Withdrawal of reservation,26/03/1984,26/03/1984
Gabon,Signature,17/07/1980, 
Gabon,Ratification,21/01/1983,20/02/1983
Gambia,Signature,29/07/1980, 
Gambia,Ratification,16/04/1993,16/05/1993
Georgia,Accession,26/10/1994,25/11/1994
