Participant,Action,Date of Notification/Deposit,Date of Effect
Honduras,Ratification,19/10/1995,17/01/1996
Hungary,Signature,13/06/1992, 
Hungary,Ratification,24/02/1994,25/05/1994
Iceland,Signature,04/06/1992, 
Iceland,Ratification,16/06/1993,21/03/1994
India,Signature,10/06/1992, 
India,Ratification,01/11/1993,21/03/1994
Indonesia,Signature,05/06/1992, 
Indonesia,Ratification,23/08/1994,21/11/1994
Iran (Islamic Republic of),Signature,14/06/1992, 
Iran (Islamic Republic of),Ratification,18/07/1996,16/10/1996
Iraq,Accession,28/07/2009,26/10/2009
Ireland,Signature,13/06/1992, 
Ireland,Ratification,20/04/1994,19/07/1994
Israel,Communication,19/01/2016, 
Israel,Signature,04/06/1992, 
Israel,Ratification,04/06/1996,02/09/1996
Italy,Signature,05/06/1992, 
Italy,Ratification,15/04/1994,14/07/1994
Jamaica,Signature,12/06/1992, 
Jamaica,Ratification,06/01/1995,06/04/1995
Japan,Signature,13/06/1992, 
Japan,Acceptance,28/05/1993,21/03/1993
Jordan,Signature,11/06/1992, 
Jordan,Ratification,12/11/1993,21/03/1994
Kazakhstan,Signature,08/06/1992, 
Kazakhstan,Notification,23/03/2000, 
Kazakhstan,Ratification,17/05/1995,15/08/1995
Kenya,Signature,12/06/1992, 
Kenya,Ratification,30/08/1994,28/11/1994
Kiribati,Signature,13/06/1992, 
Kiribati,Ratification,07/02/1995,08/05/1995
Kuwait,Accession,28/12/1994,28/03/1995
Kyrgyzstan,Accession,25/05/2000,23/08/2000
Lao People's Democratic Republic,Accession,04/01/1995,04/04/1995
Latvia,Signature,11/06/1992, 
Latvia,Ratification,23/03/1995,21/06/1995
Lebanon,Signature,12/06/1992, 
Lebanon,Ratification,15/12/1994,15/03/1995
Lesotho,Signature,11/06/1992, 
Lesotho,Ratification,07/02/1995,08/05/1995
Liberia,Signature,12/06/1992, 
Liberia,Ratification,05/11/2002,03/02/2003
Libyan Arab Jamahiriya,Signature,29/06/1992, 
Libyan Arab Jamahiriya,Ratification,14/06/1999,12/09/1999
Liechtenstein,Signature,04/06/1992, 
Liechtenstein,Ratification,22/06/1994,20/09/1994
Lithuania,Signature,11/06/1992, 
Lithuania,Ratification,24/03/1995,22/06/1995
Luxembourg,Signature,09/06/1992, 
Luxembourg,Ratification,09/05/1994,07/08/1994
Madagascar,Signature,10/06/1992, 
Madagascar,Ratification,02/06/1999,31/08/1999
Malawi,Signature,10/06/1992, 
Malawi,Ratification,21/04/1994,20/07/1994
Malaysia,Signature,09/06/1993, 
Malaysia,Ratification,13/07/1994,11/10/1994
Maldives,Signature,12/06/1992, 
Maldives,Ratification,09/11/1992,21/03/1994
Mali,Signature,30/09/1992, 
Mali,Ratification,28/12/1994,28/03/1995
Malta,Signature,12/06/1992, 
Malta,Ratification,17/03/1994,15/06/1994
Marshall Islands,Signature,12/06/1992, 
Marshall Islands,Ratification,08/10/1992,21/03/1994
Mauritania,Signature,12/06/1992, 
Mauritania,Ratification,20/01/1994,20/04/1994
Mauritius,Signature,10/06/1992, 
Mauritius,Ratification,04/09/1992,21/03/1994
Mexico,Signature,13/06/1992, 
Mexico,Ratification,11/03/1993,21/03/1994
Micronesia,Signature,12/06/1992, 
Micronesia,Ratification,18/11/1993,21/03/1994
Monaco,Signature,11/06/1992, 
Monaco,Ratification,20/11/1992,21/03/1994
Mongolia,Signature,12/06/1992, 
Mongolia,Ratification,30/09/1993,21/03/1994
Montenegro,Succession,23/10/2006,03/06/2006
Morocco,Signature,13/06/1992, 
Morocco,Ratification,28/12/1995,27/03/1996
Mozambique,Signature,12/06/1992, 
Mozambique,Ratification,25/08/1995,23/11/1995
Myanmar,Signature,11/06/1992, 
Myanmar,Ratification,25/11/1994,23/02/1995
Namibia,Signature,12/06/1992, 
Namibia,Ratification,16/05/1995,14/08/1995
Nauru,Signature,08/06/1992, 
Nauru,Ratification,11/11/1993,21/03/1994
Nepal,Signature,12/06/1992, 
Nepal,Ratification,02/05/1994,31/07/1994
Netherlands,Declaration,17/02/2010, 
Netherlands,Signature,04/06/1992, 
Netherlands,Acceptance,20/12/1993,21/03/1994
New Zealand,Signature,04/06/1992, 
New Zealand,Ratification,16/09/1993,21/03/1994
Nicaragua,Signature,13/06/1992, 
Nicaragua,Ratification,31/10/1995,29/01/1996
Niger,Signature,11/06/1992, 
Niger,Ratification,25/07/1995,23/10/1995
Nigeria,Signature,13/06/1992, 
Nigeria,Ratification,29/08/1994,27/11/1994
Niue,Accession,28/02/1996,28/05/1996
None,Adoption of Amendments,09/11/2001, 
Norway,Signature,04/06/1992, 
Norway,Ratification,09/07/1993,21/03/1994
Oman,Signature,11/06/1992, 
Oman,Ratification,08/02/1995,09/05/1995
Pakistan,Signature,13/06/1992, 
Pakistan,Ratification,01/06/1994,30/08/1994
Palau,Accession,10/12/1999,09/03/2000
Panama,Signature,18/03/1993, 
Panama,Ratification,23/05/1995,21/08/1995
Papua New Guinea,Signature,13/06/1992, 
Papua New Guinea,Ratification,16/03/1993,21/03/1994
Paraguay,Signature,12/06/1992, 
Paraguay,Ratification,24/02/1994,25/05/1994
Peru,Signature,12/06/1992, 
Peru,Ratification,07/06/1993,21/03/1994
Philippines,Signature,12/06/1992, 
Philippines,Ratification,02/08/1994,31/10/1994
Poland,Signature,05/06/1992, 
Poland,Ratification,28/07/1994,26/10/1994
Portugal,Territorial application,28/06/1999, 
Portugal,Communication,09/12/1999, 
Portugal,Designation of authorities,01/12/1999, 
Portugal,Signature,13/06/1992, 
Portugal,Ratification,21/12/1993,21/03/1994
Qatar,Accession,18/04/1996,17/07/1996
Republic of Korea,Signature,13/06/1992, 
Republic of Korea,Ratification,14/12/1993,21/03/1994
Republic of Moldova,Signature,12/06/1992, 
Republic of Moldova,Ratification,09/06/1995,07/09/1995
Romania,Signature,05/06/1992, 
Romania,Ratification,08/06/1994,06/09/1994
Russian Federation,Signature,13/06/1992, 
Russian Federation,Ratification,28/12/1994,28/03/1995
Rwanda,Signature,10/06/1992, 
Rwanda,Ratification,18/08/1998,16/11/1998
Samoa,Signature,12/06/1992, 
Samoa,Ratification,29/11/1994,27/02/1995
San Marino,Signature,10/06/1992, 
San Marino,Ratification,28/10/1994,26/01/1995
Sao Tome and Principe,Signature,12/06/1992, 
Sao Tome and Principe,Ratification,29/09/1999,28/12/1999
Saudi Arabia,Accession,28/12/1994,28/03/1995
Senegal,Signature,13/06/1992, 
Senegal,Ratification,17/10/1994,15/01/1995
Seychelles,Signature,10/06/1992, 
Seychelles,Ratification,22/09/1992,21/03/1994
Sierra Leone,Signature,11/02/1993, 
Sierra Leone,Ratification,22/06/1995,20/09/1995
Singapore,Signature,13/06/1992, 
Singapore,Ratification,29/05/1997,27/08/1997
Slovakia,Notification,23/02/1996, 
Slovakia,Signature,19/05/1993, 
Slovakia,Approval,25/08/1994,23/11/1994
Slovenia,Signature,13/06/1992, 
Slovenia,Notification,09/06/1998, 
Slovenia,Ratification,01/12/1995,29/02/1996
Solomon Islands,Signature,13/06/1992, 
Solomon Islands,Ratification,28/12/1994,28/03/1995
Somalia,Accession,11/09/2009,10/12/2009
Somaliland under Italian Administration,Signature,05/06/1992, 
South Africa,Signature,15/06/1993, 
South Africa,Ratification,29/08/1997,27/11/1997
South Sudan,Accession,17/02/2014,18/05/2014
Spain,Signature,13/06/1992, 
Spain,Ratification,21/12/1993,21/03/1994
Spanish Colonies,Signature,13/06/1992, 
Sri Lanka,Signature,10/06/1992, 
Sri Lanka,Ratification,23/11/1993,21/03/1994
St. Kitts and Nevis,Signature,12/06/1992, 
St. Kitts and Nevis,Ratification,07/01/1993,21/03/1994
St. Lucia,Signature,14/06/1993, 
St. Lucia,Ratification,14/06/1993,21/03/1994
St. Vincent and the Grenadines,Accession,02/12/1996,02/03/1997
State of Palestine,Communication,22/01/2016, 
State of Palestine,Communication,22/01/2016, 
State of Palestine,Communication,22/01/2016, 
State of Palestine,Accession,18/12/2015,17/03/2016
Sudan,Signature,09/06/1992, 
Sudan,Ratification,19/11/1993,21/03/1994
Suriname,Signature,13/06/1992, 
Suriname,Ratification,14/10/1997,12/01/1998
Swaziland,Signature,12/06/1992, 
Swaziland,Ratification,07/10/1996,05/01/1997
Sweden,Signature,08/06/1992, 
Sweden,Ratification,23/06/1993,21/03/1994
Switzerland,Signature,12/06/1992, 
Switzerland,Ratification,10/12/1993,21/03/1994
Syrian Arab Republic,Accession,04/01/1996,03/04/1996
Tajikistan,Accession,07/01/1998,07/04/1998
Thailand,Signature,12/06/1992, 
Thailand,Ratification,28/12/1994,28/03/1995
The former Yugoslav Republic of Macedonia,Accession,28/01/1998, 
Timor-Leste,Accession,10/10/2006,08/01/2007
Togo,Signature,12/06/1992, 
Togo,Acceptance,08/03/1995,06/06/1995
Tonga,Accession,20/07/1998,18/10/1998
Trinidad and Tobago,Signature,11/06/1992, 
Trinidad and Tobago,Ratification,24/06/1994,22/09/1994
Tunisia,Signature,13/06/1992, 
Tunisia,Ratification,15/07/1993,21/03/1994
Turkey,Accession,24/02/2004,24/05/2004
Turkmenistan,Accession,05/06/1995,03/09/1995
Tuvalu,Signature,08/06/1992, 
Tuvalu,Ratification,26/10/1993,21/03/1994
Uganda,Signature,13/06/1992, 
Uganda,Ratification,08/09/1993,21/03/1994
Ukraine,Signature,11/06/1992, 
Ukraine,Ratification,13/05/1997,11/08/1997
United Arab Emirates,Accession,29/12/1995,28/03/1996
United Kingdom of Great Britain and Northern Ireland,Signature,12/06/1992, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,02/01/2007, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,04/04/2006, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,07/03/2007, 
United Kingdom of Great Britain and Northern Ireland,Ratification,08/12/1993,21/03/1994
United Republic of Tanzania,Signature,12/06/1992, 
United Republic of Tanzania,Ratification,17/04/1996,16/07/1996
United States of America,Signature,12/06/1992, 
United States of America,Communication,19/01/2016, 
United States of America,Ratification,15/10/1992,21/03/1994
Uruguay,Signature,04/06/1992, 
Uruguay,Ratification,18/08/1994,16/11/1994
Uzbekistan,Accession,20/06/1993,21/03/1994
Vanuatu,Signature,09/06/1992, 
Vanuatu,Ratification,25/03/1993,21/03/1994
Venezuela,Signature,12/06/1992, 
Venezuela,Ratification,28/12/1994,28/03/1995
Viet Nam,Signature,11/06/1992, 
Viet Nam,Ratification,16/11/1994,14/02/1995
Yemen Arab Republic,Signature,12/06/1992, 
Yemen Arab Republic,Ratification,21/02/1996,21/05/1996
Yugoslavia,Accession,12/03/2001,10/06/2001
Zaire,Ratification,09/01/1995,09/04/1995
Zambia,Signature,11/06/1992, 
Zambia,Ratification,28/05/1993,21/03/1994
Zimbabwe,Signature,12/06/1992, 
Zimbabwe,Ratification,03/11/1992,21/03/1994
