,4,8,12,16,20,24,660,28,32,51,533,36,40,31,44,48,50,52,112,56,84,204,60,64,68,535,70,72,76,92,96,100,854,108,132,116,120,124,136,140,148,830,152,156,344,446,170,174,178,184,188,384,191,192,531,196,203,408,180,208,262,212,214,218,818,222,226,232,233,231,234,238,242,246,250,254,258,266,270,268,276,288,292,300,304,308,312,316,320,324,624,328,332,336,340,348,352,356,360,364,368,372,833,376,380,388,392,400,398,404,296,414,417,418,428,422,426,430,434,438,440,442,450,454,458,462,466,470,584,474,478,480,175,484,583,492,496,499,500,504,508,104,516,520,524,528,540,554,558,562,566,570,580,578,512,586,585,591,598,600,604,608,616,620,630,634,410,498,638,642,643,646,290,659,662,666,670,882,674,678,682,686,688,690,694,702,534,703,705,90,706,710,728,724,144,275,729,740,748,752,756,760,762,764,807,626,768,772,776,780,788,792,795,796,798,800,804,784,826,834,840,850,858,860,548,862,704,876,732,887,894,716
108,,,,,,,,,,,,,,,,,,,,   642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  36 654,,,,,,,,,,,,,,,,   321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  221 943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 833,,,,  11 912,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   87,,,,,,,,,,,,,  10 810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   163,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  13 405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  101 216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   289,,
232,,,,,,   247,,,,,,,,,,,,,,,,,,,,,,,,,,,,   618,,,,,,,,,,   8,,,,   27,,,,,,,,,,,   407,,,,,,,,,,,  1 284,,,,,   108,,,,,,,,,,,,,,,,,,,,,,,   39,,,,,,,,,,,,   187,,,,,,,,,,,,,,   114,,,,,,,,,,,,,,,,,  3 537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   991,,,,,,,,,,,,,,,,,,,  1 438,   97,   933,,,,   131,,,,,,,,,,,,,,,,,,,   175,,,   34,   218,,,,,,,,,,,   91,   82
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   19,,,,,,,,,,,,,,,,,,,,,,,,,   48,,   904,,,,,,,  69 681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   71,,,,,,,,,,,,,,,,,,,  616 940,,  384 266,,,,  53 857,,,,,,,,,,,,,,,,,,,   103,,,,,,,,,,,,,,   68,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   99,,,,,,,,,,,,,,,,,,,,,,,,,   394,,,,,,,,,0,,  26 695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 043,,   119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 874,,,,,,,,,,,,,,,,,,,  7 875,   197,  5 801,,,,   814,,,,,,,,,,,,,,,,,,,  83 355,,,,  66 464,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 481,,,,  8 179,,,,,,,,,,,,,,,,,,,,,,,,,,,  6 672,,,,,,,,,,,,,,,,,,,,,,,  1 171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   705,,,,,,,,,,,,,,,   735,,,,,,,,,,  1 338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1 075 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 249,,,,,,,,,,,,,,,,,,,   211,  1 276,,,,,,,,,,,,,,,,,,,,,,,,,,,   769,  3 279,,,,,,,,,,,  5 637,  3 851
480,,,,,,,,,,,,,,,,,   71,,,   76,,,,,,,,,,,,,,,,,,   36,,,,,,   346,   91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   788,,,,,,   57,,,,,,,,,,,,,,,,,   515,,,,   30,,,   38,,   23,,,,,,,,,,,,,,,,   56,,   36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,   34,,,,,,,,,,,,,   43,,,,,,,,   184,,   15,   9,,,,,,   66,,,,,,,,,,,,,,,,,,   694,,   37,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 288,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 144,,,,,,,,,,,,,,,,,,,,,,,,   186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 143,,,,,,,,,,,,,,,,,,,  3 531,,,,,,,  2 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   866,,,,,,,,  6 499,,,,,,,,,,,,,,,,,,,,,,,,,,,,  28 813,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 935,,,,,,,,,,,  1 288,  8 455
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   441,,,,,,,,,,,,,,,,,,,,,,,,,,,  37 516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 339,,,,,,,,,  1 008,  1 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  26 238,,,,,,,,,,,,,,,,,,,,,,,,,  62 526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  34 106,,,,  15 825,,,,,,,,,,,,
690,,,,,,,,,,,,   67,,,,,   11,,,   32,,,,,,,,,,,,,,,,,,,,,,,,   58,,,,,,,,,,   20,,,,,,,,,,,,,,,,,,,,,   180,,,,,,   40,,,,,,,,,,,,,,,,,  1 276,   2,,,,,,   22,,,,,   25,,,,,,,,,,,,,   34,,,   2,,,,,,   258,,,,,,,,,,,,,   27,,,,,,   25,,,,,   23,,,,,,   61,,,,,,,,,   79,,,,,,,,,,,,,,,,,,,,   11,   83,,   11,   316,,,,,,,,,   5,,,,,,,,,,,,   5,,,   274,,,,,,,,,,,,,
706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,  460 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
